file_name,genre_name,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std
jazz.00002.wav,jazz,0.058,0.03,1064.669,401.353,1895.73,698.994,-256.959,175.359,-44.822,25.651,-4.256,-0.223,-11.313,-9.189,-4.095,-8.308,-22.548,-7.609,-7.651,-11.743,-8.17,-7.498,-12.292,-6.765,-3.497,-8.645,79.806,34.888,32.896,20.111,15.326,10.603,9.714,8.586,9.278,10.313,9.955,8.43,7.59,8.967,8.381,6.322,7.399,6.762,6.437,8.568
jazz.00000.wav,jazz,0.078,0.049,1503.869,744.699,2799.283,1638.804,-252.073,137.903,-11.131,8.365,0.73,1.59,-3.729,-4.133,-5.499,-2.634,-3.538,-3.148,-1.849,-1.002,-2.58,-1.957,-1.503,0.222,-1.991,-3.354,110.239,38.283,27.051,10.956,10.841,7.294,7.501,6.183,6.608,6.132,6.56,7.686,6.618,6.418,6.999,7.093,6.414,7.464,7.072,7.064
jazz.00005.wav,jazz,0.058,0.03,1268.325,535.177,2486.627,1364.557,-246.235,120.193,-0.966,30.69,0.181,23.157,0.447,9.165,-0.556,5.711,-3.752,4.222,-0.279,7.45,0.711,7.083,0.889,0.979,1.729,-1.356,95.846,27.742,29.866,14.226,17.244,10.256,12.964,9.026,12.387,13.632,11.471,13.588,14.408,14.893,16.16,15.137,20.151,18.246,13.894,14.591
jazz.00004.wav,jazz,0.048,0.023,1039.263,350.135,1837.458,956.54,-270.264,137.613,5.668,42.459,-7.946,9.92,-6.785,8.243,-6.182,5.478,-5.428,-5.185,-6.989,-3.239,-2.01,4.402,1.982,4.977,6.578,-2.426,54.125,23.43,18.508,14.915,13.235,10.197,9.063,7.445,7.137,7.275,7.552,9.082,8.797,8.884,9.927,12.763,13.457,12.739,19.828,21.744
jazz.00003.wav,jazz,0.045,0.014,813.063,304.871,1416.553,661.629,-297.32,193.097,10.209,-1.628,3.388,9.987,-7.245,4.685,-5.383,-2.862,-10.223,0.37,-4.965,3.237,-4.473,-1.892,-2.272,3.883,0.343,-2.222,99.371,29.559,33.632,15.953,12.106,10.162,12.025,8.843,9.399,9.481,7.149,10.045,8.526,7.184,6.419,6.878,7.389,6.233,7.073,7.505
jazz.00001.wav,jazz,0.059,0.033,1266.583,549.422,2410.828,1333.896,-345.722,146.973,-0.524,22.641,5.81,10.367,-0.149,-1.715,-6.115,-0.519,1.035,1.221,-1.93,-5.546,-4.405,-2.589,-5.186,-5.421,-3.113,-0.798,100.541,35.904,22.839,11.598,9.83,7.437,7.356,7.55,6.858,6.962,7.212,6.799,8.036,7.896,7.321,6.643,6.581,6.764,7.259,9.914
jazz.00014.wav,jazz,0.065,0.034,1171.557,408.814,2018.525,789.457,-358.277,137.981,-10.983,20.825,1.982,-3.428,-11.526,-3.258,-11.019,-8.427,-7.464,-0.994,-6.71,2.405,-2.635,-0.301,-1.425,-1.701,0.905,4.421,72.013,31.636,23.656,18.576,11.77,11.44,10.643,7.994,8.508,7.105,8.993,8.469,9.926,12.5,11.881,13.238,11.757,12.186,11.991,13.349
jazz.00013.wav,jazz,0.061,0.018,1789.983,296.442,4397.32,970.767,-217.623,112.636,12.685,39.519,-9.821,17.375,-12.36,20.702,-18.303,16.35,-10.018,9.043,-6.875,7.311,-4.777,8.563,-2.783,1.274,-0.348,0.36,29.807,11.763,11.044,7.846,7.178,7.178,7.285,8.989,8.435,7.176,7.688,9.338,8.727,8.061,9.27,9.204,8.993,7.728,7.802,8.55
jazz.00010.wav,jazz,0.033,0.021,829.467,413.512,1554.171,849.38,-318.745,162.665,-16.497,39.139,31.441,15.267,-0.684,5.81,-8.636,-4.005,1.358,0.054,-3.111,-1.546,-1.589,-4.876,-4.241,-1.275,-0.746,-4.425,107.921,23.601,54.078,16.39,14.15,11.505,9.253,8.898,13.221,9.937,7.017,6.483,6.889,6.259,6.498,5.956,5.444,5.801,5.926,5.162
jazz.00007.wav,jazz,0.065,0.027,1169.74,346.416,1958.173,834.577,-291.944,137.735,2.666,35.632,-12.302,15.559,-6.778,-2.827,-3.764,-3.463,-1.718,10.414,8.312,5.21,0.315,0.387,-1.466,-0.76,-6.341,-5.511,50.417,30.257,24.249,12.221,11.004,9.345,9.686,8.017,7.973,11.406,13.269,15.965,14.043,16.711,20.648,19.823,13.718,14.687,15.208,14.512
jazz.00017.wav,jazz,0.084,0.04,1934.165,528.054,4326.858,1285.932,-233.112,105.915,-2.663,37.432,-8.162,15.733,-15.069,8.365,-16.38,8.641,-9.37,7.103,-5.989,1.991,-5.731,-0.94,-6.908,-3.767,-1.625,-2.435,57.705,22.848,19.849,8.87,7.809,7.085,8.541,7.29,8.717,7.307,6.887,8.081,8.21,6.478,7.374,7.886,7.931,7.503,7.268,7.86
